sma,intens,int_err,pix_var,rms,ell,ell_err,pa,pa_err,x0,x0_err,y0,y0_err,grad,grad_err,grad_r_err,rsma,mag,mag_lerr,mag_uerr,tflux_e,tflux_c,tmag_e,tmag_c,npix_e,npix_c,a3,a3_err,b3,b3_err,a4,a4_err,b4,b4_err,ndata,nflag,niter,stop,a_big,sarea,pa_norm,sbp_ori,sbp_sub,sbp,intens_sub,intens_bkg,sbp_err,sbp_low,sbp_upp,sma_asec,rsma_asec,growth_ori,growth_sub,avg_x0,avg_y0,avg_q,avg_pa,avg_bkg,intens_cor,sbp_cor,growth_cor,rad_outer,mag_tot,mag_tot_ori,mag_tot_sub
1.19696,0.05139003,0.0006456456,0.003292159,0.002327908,0.05,0.03675079,0.0,22.33552,22.0,0.02272267,21.0,0.02317229,-0.03679074,0.007478281,0.2032653,1.045972,3.222803,0.01372715,0.01355585,0.3430489,0.3430489,1.16161,1.16161,5.0,5.0,-0.006143095,0.01786511,0.0008126654,0.0171319,-0.004457549,0.006836619,0.04957574,0.01197201,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.05139003,0.0,nan,-inf,nan,7.124761904761904,1.6337762892485825,0.2112533336227273,0.2112533336227273,22.0,21.000000000000004,0.95,0.0,0.0,0.05139003,-inf,0.2112533336227273,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
1.316656,0.04698633,0.0006199853,0.003161317,0.002235389,0.05,0.02867896,0.0,17.42982,22.0,0.01950513,21.0,0.01989108,-0.03640354,0.006549235,0.1799065,1.071194,3.320071,0.01442171,0.01423256,0.3430489,0.3430489,1.16161,1.16161,5.0,5.0,-0.008503822,0.01381504,-0.0006572636,0.01319876,-0.006181521,0.007358256,0.03456696,0.009317481,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.04698633,0.0,nan,-inf,nan,7.837238095238095,1.6731726627210612,0.2534446982248951,0.2534446982248951,22.0,21.000000000000004,0.95,0.0,0.0,0.04698633,-inf,0.2534446982248951,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
1.448321,0.04219323,0.0005993284,0.003055987,0.002160909,0.05,0.02228458,0.0,13.54359,22.0,0.0166718,21.0,0.01700169,-0.03579395,0.005615714,0.15689,1.097024,3.436893,0.01553276,0.01531372,0.3430489,0.5117741,1.16161,0.7273042,5.0,9.0,-0.009938001,0.01050636,-0.002094702,0.009992966,-0.006101173,0.007195916,0.02196616,0.007626283,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.04219323,0.0,nan,-inf,nan,8.620958333333332,1.7135188506284735,0.2992882352064074,0.2992882352064074,22.0,21.000000000000004,0.95,0.0,0.0,0.04219323,-inf,0.2992882352064074,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
1.593153,0.03700912,0.000549837,0.002803629,0.001982465,0.05,0.01588444,0.0,9.653864,22.0,0.01307201,21.0,0.01333067,-0.03479119,0.004642447,0.1334375,1.123478,3.579228,0.01625156,0.016012,0.5117741,0.5117741,0.7273042,0.7273042,9.0,9.0,-0.008777803,0.007312966,-0.001711405,0.006942701,-0.005187334,0.006028095,0.01107665,0.005900297,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.03700912,0.0,nan,-inf,nan,9.48305357142857,1.7548380838956779,0.3479436156560927,0.3479436156560927,22.0,21.000000000000004,0.95,0.0,0.0,0.03700912,-inf,0.3479436156560927,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
1.752469,0.03146635,0.0004946786,0.002522376,0.001783589,0.05,0.01013263,0.0,6.158168,22.0,0.009172454,21.0,0.009353953,-0.03348796,0.003971973,0.118609,1.150569,3.755384,0.01720446,0.0169358,0.5117741,0.5117741,0.7273042,0.7273042,9.0,9.0,-0.006359975,0.004568798,-0.001053505,0.004333351,-0.003712835,0.004394055,-0.0003263429,0.004170571,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.03146635,0.0,nan,-inf,nan,10.431363095238094,1.7971538833065015,0.39799961222342634,0.39799961222342634,22.0,21.000000000000004,0.95,0.0,0.0,0.03146635,-inf,0.39799961222342634,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
1.927716,0.02559769,0.0004897088,0.002497035,0.00176567,0.05,0.01260831,0.0,7.662778,22.0,0.01255489,21.0,0.01280332,-0.02961467,0.003623266,0.122347,1.178313,3.979498,0.02097235,0.02057505,0.5117741,0.5117741,0.7273042,0.7273042,9.0,9.0,-0.005390038,0.005928233,-0.001566951,0.005666477,-0.00155715,0.003069107,-0.01525615,0.003467268,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.02559769,0.0,nan,-inf,nan,11.474499999999999,1.840489917154248,0.44727096613163275,0.44727096613163275,22.0,21.000000000000004,0.95,0.0,0.0,0.02559769,-inf,0.44727096613163275,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
2.120487,0.01988882,0.0004980315,0.002539472,0.001795678,0.05,0.02705068,0.0,15.91725,22.0,0.02888816,21.0,0.03001556,-0.01895509,0.002816859,0.148607,1.206727,4.253478,0.02753368,0.02685311,0.5952237,0.5952237,0.5632994,0.5632994,13.0,13.0,-0.005821161,0.01261395,0.002730187,0.01258057,-0.0007351799,0.004965317,-0.03654097,0.00735648,13,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.01988882,0.0,nan,-inf,nan,12.621946428571425,1.8848707854467055,0.4935928782097777,0.4935928782097777,22.0,21.000000000000004,0.95,0.0,0.0,0.01988882,-inf,0.4935928782097777,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
2.332536,0.01586942,0.0003297659,0.001806202,0.001277178,0.05,0.01612653,0.0,9.931119,22.0,0.01980291,21.0,0.01971452,-0.01479364,0.001748186,0.1181715,1.235825,4.498597,0.02279946,0.02233016,0.720091,0.720091,0.3565315,0.3565315,21.0,21.0,-0.00736656,0.007859723,-0.002733649,0.007398094,0.0007325735,0.007790713,-0.002907908,0.00732077,15,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.01586942,0.0,nan,-inf,nan,13.884142857142857,1.930322035598599,0.5383153397550227,0.5383153397550227,22.0,21.000000000000004,0.95,0.0,0.0,0.01586942,-inf,0.5383153397550227,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
2.56579,0.01241875,0.000239857,0.001356836,0.0009594281,0.05,0.01126142,0.0,6.739551,22.0,0.01479793,21.0,0.01512395,-0.01185414,0.001262869,0.106534,1.265626,4.764805,0.02117513,0.02077021,0.720091,0.720091,0.3565315,0.3565315,21.0,21.0,-0.007111756,0.005223633,-0.001825254,0.005073166,0.005097316,0.001639395,0.0167903,0.002344422,16,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.01241875,0.0,nan,-inf,nan,15.272559523809521,1.976869298045079,0.5806628759611039,0.5806628759611039,22.0,21.000000000000004,0.95,0.0,0.0,0.01241875,-inf,0.5806628759611039,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
2.822369,0.009377228,0.0002178561,0.001307136,0.000924285,0.05,0.01108415,0.0,6.771805,22.0,0.0163497,21.0,0.01638478,-0.009905828,0.0009677734,0.09769737,1.296145,5.069814,0.025522,0.02493568,0.720091,0.720091,0.3565315,0.3565315,21.0,21.0,-0.007416123,0.005365505,-0.0005390815,0.005087739,0.002726562,0.004050143,0.01254913,0.00404281,18,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.009377228,0.0,nan,-inf,nan,16.799815476190474,2.0245389096587236,0.6193538323220427,0.6193538323220427,22.0,21.000000000000004,0.95,0.0,0.0,0.009377228,-inf,0.6193538323220427,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
